sentence_id,something_1,used,for,something_2,something_1_first_index,something_1_last_index,used_first_index,used_last_index,for_first_index,for_last_index,something_2_first_index,something_2_last_index,sentence_text
7065,dogs,used,for,cross,34,34,35,35,36,36,37,37,"Alternatively , the name might have been derived from the German word "" pummel "" ( "" puppy "" ) or from the word "" Pomeranian "" , the origin of many German herding dogs used for cross - breeding ."
14758,fins,used,for,sports,8,8,9,9,10,10,13,13,"Palau SAF and Action Short Fins : Compact fins used for multiple water sports , such as snorkeling and body boarding , these fins incorporated an adjustable , open - heel foot pocket suitable for use with bare feet ."
14769,silicone,used,for,decades,11,11,12,12,13,13,15,15,"Used in select mask models , this new material improves upon silicone used for three decades in mask skirts with improved light transmission and much greater resistance to discoloration ."
17056,skiff,used,for,purposes,7,7,8,8,9,9,11,11,The term originally referred to a small skiff used for recreational purposes .
18993,funds,used,for,construction,1,1,2,2,3,3,5,5,"The funds used for its construction were raised by Low Kim Pong and Yeo Poon Seng , one of the saw mill pioneers during the period ."
19739,term,used,for,lesions,14,14,15,15,16,16,22,22,""" Verrucous leukoplakia "" ( or "" verruciform leukoplakia "" ) is a descriptive term used for thick , white , papillary lesions ."
19956,treatments,used,for,leukoplakia,6,6,8,8,9,9,10,10,A systematic review found that no treatments commonly used for leukoplakia have been shown to be effective in preventing malignant transformation .
24540,songs,used,for,films,4,4,5,5,6,6,8,8,"Pogoda has also had songs used for Disney films , CDs , TV shows & DVDs ."
26162,instances,used,for,slaves,57,57,63,63,76,76,78,78,"In addition , noted 19th Century abolitionist and civil rights leader Frederick Douglass escaped to freedom by hailing and jumping aboard , a Philadelphia - bound P.W. & B. Railroad train on this line near Canton from the smaller , previous station around 1838 , ( as documented in his memoirs ) and there are several other instances of the rail line being used as a route to freedom on the famous "" Underground Railroad "" for escaping slaves ."
29452,evidence,used,for,purpose,6,6,17,17,18,18,21,21,"Second , we have found no evidence that information contained in the files of former officials was used for an improper purpose . """
37829,numbering,used,for,departementales,34,34,35,35,36,36,40,40,"The "" chaussées "" constructed at this time , radiating out from Paris , form the basis for the "" routes nationales "" ( RN ) , whose red numbers differ from the yellow numbering used for secondary "" routes departementales "" ."
38117,terms,used,for,highways,6,6,7,7,8,8,10,10,"In the United Kingdom , the terms used for vehicular highways other than motorways include "" main road "" , "" trunk road "" , "" ' A ' road / ' B ' road "" , "" ' C ' road "" , and "" unclassified road "" ; they may additionally , where appropriate , be described as "" dual carriageways "" ."
38133,way,used,for,period,14,14,16,16,17,17,20,20,A right - of - way may be created by custom ( by the way being used for a long period of time ) or under the relevant Sections of the Highways Act of 1980 .
51469,chamber,used,for,lectures,30,30,32,32,33,33,35,35,"The 1908 "" gingerbread "" Romanesque Revival City Hall on 11th Avenue between Rose and Hamilton Streets provided publicly owned facilities for civic government but also contained a large audience chamber , used for public lectures , balls , theatricals and even boxing matches ( see below ) ."
54729,notation,used,for,chess,6,6,7,7,8,8,9,9,"It is derived from the algebraic notation used for chess , but differs in several respects ."
55174,land,used,for,farming,11,11,13,13,14,14,15,15,"European settlement of the area began in the 1830s , with land mainly used for farming ."
66613,name,used,for,Mater,2,2,3,3,8,8,11,11,An affectionate name used by students and alumni for their Alma Mater .
69464,detector,used,for,experiment,1,1,2,2,3,3,6,6,The detector used for the MINERνA experiment weighs 5 tons and is made of many layers of parallel scintillator strips .
76154,call,used,for,color,21,21,22,22,23,23,26,26,"A value of 0 is always a selectable background - plus - border color ( with the same register and/or BIOS call used for the foreground color in the 640×200 graphic mode ; black by default ) , and the three remaining values 1 to 3 are indices to one of the predefined color palette entries ."
100118,medications,used,for,hypersomnia,3,3,5,5,6,6,8,8,"Overall , the medications currently used for idiopathic hypersomnia ( all off - label ) are far from satisfactory ."
107289,deer,used,for,transport,38,38,41,41,44,44,45,45,"The memory about breeding and milking reindeer belongs to some remote historical ancestors of a part of Kumandy ; they can be explained by participation in the Kumandy ethnogenesis of the southern Nenets tribes , who cultivated riding deer , typically used not only for transport but also for food and dress ."
108580,example,used,for,chambering,11,11,16,16,17,17,18,18,The camming action seen in many bolt action rifles is an example of mechanical advantage being used for chambering and extraction .
117661,plane,used,for,research,16,16,17,17,18,18,19,19,"While at the NACA he supervised the development of the North American X-15 , a rocket plane used for research and testing ."
119411,pair,used,for,transmission,21,21,26,26,27,27,28,28,"In GSM cellular networks , an absolute radio - frequency channel number ( ARFCN ) is a code that specifies a pair of physical radio carriers used for transmission and reception in a land mobile radio system , one for the uplink signal and one for the downlink signal ."
119444,frequencies,used,for,services,11,11,12,12,13,13,17,17,"In many countries in Europe there is a standardised set of frequencies used for "" blue light services "" i.e. the police , firebrigade , rescue and so on ."
121765,railway,used,for,transport,6,6,33,33,34,34,36,36,"This was not the first operational railway on the territory of then - Kingdom of Serbia , though , as the one in opened in 1882 , a primarily industrial , though occasionally used for passenger transport , 12  "
123231,salts,used,for,removal,7,7,9,9,21,21,24,24,"Lithium hydroxide and lithium peroxide are the salts most used in confined areas , such as aboard spacecraft and submarines , for carbon dioxide removal and air purification ."
123415,JET,used,for,flights,28,28,29,29,30,30,32,32,"They have been leasing another Cessna Citation II 550 privately registered J8 - JTS , and their own Cessna CE-525B Citation Jet 3 has been registered J8 - JET used for charter flights ."
125175,batteries,used,for,cars,22,22,23,23,24,24,26,26,The following is how EEStor 's energy storage device ( sometimes referred to the EESU ) is claimed to compare to electrochemical batteries used for electric cars :
126516,laser,used,for,spectroscopy,14,14,17,17,18,18,19,19,"Titanium - doped sapphire ( Ti : sapphire ) produces a highly tunable infrared laser , commonly used for spectroscopy ."
126554,diodes,used,for,cutting,5,5,16,16,19,19,20,20,"The highest power industrial laser diodes , with power up to 20   kW , are used in industry for cutting and welding ."
129228,term,used,for,removal,4,4,5,5,9,9,11,11,Manual scavenging is a term used in Indian English for the removal of untreated human excreta from bucket toilets or pit latrines .
133746,plant,used,for,regulation,12,12,15,15,16,16,17,17,Kruonis Pumped Storage Plant is the only in the Baltic states power plant to be used for regulation of the power system 's operation with generating capacity of 900 MW for at least 12 hours .
136352,techniques,used,for,purposes,6,6,7,7,8,8,10,10,"As there exist a number of techniques used for such purposes , they can be split into one of two classifications : first - generation techniques and second - generation techniques ."
143398,area,used,for,exchange,22,22,23,23,24,24,26,26,"In horseshoe crabs , the gills are more complex and composed of many lamellae ( plates ) which give a larger surface area used for gas exchange ."
143440,spines,used,for,locomotion,9,9,11,11,13,13,14,14,"The legs of many eurypterids were covered in thin spines , used both for locomotion and the gathering of food ."
144079,airport,used,for,maintenance,1,1,3,3,8,8,10,10,"This airport , used by many international airlines for aircraft maintenance and storage , has no active commercial air service ."
145915,building,used,for,ceremonies,11,11,14,14,15,15,17,17,"Born and bred in the Bulhoek area , Mgijima erected a building to be used for religious ceremonies by his followers on a piece of land that he owned ."
146584,pieces,used,for,Dire,34,34,36,36,37,37,39,39,"Initial writing for the album reached as far back as 2000 , when the track "" Idom "" was released on the soundtrack for "" Tekkōki Mikazuki "" ; this is a demo containing pieces later used for "" Dire , "" "" Consequence , "" and "" Aftermath . """
151061,land,used,for,agriculture,10,10,11,11,12,12,13,13,The 2003 Agricultural Census reported that the municipality had of land used for agriculture .
152679,stages,used,for,Tour,14,14,15,15,16,16,18,18,"Wiggins then went to a training camp in the Alps , testing the mountain stages used for the Tour ; he struggled to find his fitness ."
166353,building,used,for,purpose,9,9,13,13,14,14,17,17,It is a rare example of a purpose built building in Sydney continuously used for its initial purpose .
166543,techniques,used,for,purposes,6,6,7,7,8,8,10,10,"As there exist a number of techniques used for such purposes , they can be split into one of two classifications ; first generation techniques and second generation techniques ."
171950,land,used,for,activities,13,13,14,14,15,15,17,17,"The area surrounding the village consists mainly of farmland , as well as land used for equestrian activities ."
182065,music,used,for,descriptions,1,1,2,2,3,3,6,6,"The music used for the prize descriptions were used on both previous and future versions of "" Let 's Make a Deal "" , most of which were written by Stan Worth and Sheldon Allman ."
185694,list,used,for,season,4,4,5,5,6,6,9,9,This is the same list used for the 1981 season .
190893,plant,used,for,treatment,10,10,11,11,16,16,18,18,"Known as "" malva blanca "" , it is a plant used in Brazilian folk medicine for the treatment of inflammation of the oral mucosa , blennorrhea , asthmatic bronchitis and nasal congestion , stomatitis , of asthma and nasal congestion and in many parts of Africa for various ailments , particularly for respiratory problems ."
191560,oil,used,for,project,2,2,3,3,4,4,6,6,The mineral oil used for this project is clear and does not decay .
